datetime,site_id,site_name,lat,lon
2018-05-10 19:57:10,2748,695 North 11th street Brawley CA 92227 B,32.98632,-115.524357
2018-05-10 19:57:02,7002,6WhitePillars,45.000943,-89.599904
2018-05-10 19:57:32,7003,6WhitePillars B,45.000943,-89.599904
2018-05-10 19:57:48,5125,736 Grandview,29.476345,-98.449745
2018-05-10 19:56:56,5126,736 Grandview B,29.476345,-98.449745
2018-05-10 19:57:13,3396,77062-4503,29.571507,-95.123967
2018-05-10 19:57:43,3397,77062-4503 B,29.571507,-95.123967
2018-05-10 19:57:31,3503,775 1/2 E milton St,44.533214,-122.895698
2018-05-10 19:56:41,3504,775 1/2 E milton St B,44.533214,-122.895698
2018-05-10 19:57:27,7946,7LFC,-33.901026,19.111787
2018-05-10 19:57:49,7947,7LFC B,-33.901026,19.111787
2018-05-10 19:57:25,71,8200 South,41.11769,-111.91721
2018-05-10 19:56:56,5432,83686 Hawks Way,43.937347,-122.931781
2018-05-10 19:57:16,5433,83686 Hawks Way B,43.937347,-122.931781
2018-05-10 19:57:10,8464,9 IV Lake Deck,33.680721,-117.795988
2018-05-10 19:57:40,8465,9 IV Lake Deck B,33.680721,-117.795988
2018-05-10 19:57:09,72,90.9fm KRCL,40.770191,-111.947073
2018-05-10 19:57:12,1718,90.9fm KRCL 2,40.769943,-111.947224
2018-05-10 19:57:42,1719,90.9fm KRCL 2 B,40.769943,-111.947224
2018-05-10 19:56:55,2667,908 Bellstone Dr,32.921511,-97.230241
2018-05-10 19:57:25,2668,908 Bellstone Dr B,32.921511,-97.230241
2018-05-10 19:57:02,4770,930 Post,37.787307,-122.417252
2018-05-10 19:57:32,4771,930 Post B,37.787307,-122.417252
2018-05-10 19:56:57,7390,9IV IN,33.681284,-117.796648
2018-05-10 19:57:27,7391,9IV IN B,33.681284,-117.796648
2018-05-10 19:57:23,6732,9IV OUT,33.681972,-117.795642
2018-05-10 19:57:53,6733,9IV OUT B,33.681972,-117.795642
2018-05-10 19:58:00,7576,AAH1,29.686716,-95.295296
2018-05-10 19:57:02,7577,AAH1 B,29.686716,-95.295296
2018-05-10 19:56:43,3676,Academy Gardens kpaphila26,40.069203,-75.007222
2018-05-10 19:57:13,3677,Academy Gardens kpaphila26 B,40.069203,-75.007222
2018-05-10 19:57:11,3968,AcreBioClima UFAC,-9.957346,-67.868655
2018-05-10 19:57:36,3969,AcreBioClima UFAC B,-9.957346,-67.868655
2018-05-10 19:56:49,5486,AFM DDell Rd,40.557209,-111.820857
2018-05-10 19:57:19,5487,AFM DDell Rd B,40.557209,-111.820857
2018-05-10 19:57:53,10412,AGH,40.456893,-80.004859
2018-05-10 19:56:58,10413,AGH B,40.456893,-80.004859
2018-05-10 19:57:20,749,Agia,38.26301,21.748409
2018-05-10 19:57:50,750,Agia B,38.26301,21.748409
2018-05-10 19:56:45,5131,Agia Sofia,38.257598,21.742024
2018-05-10 19:57:15,5132,Agia Sofia B,38.257598,21.742024
2018-05-10 19:57:29,6144,Agiou Nikolaou,38.246498,21.738107
2018-05-10 19:57:59,6145,Agiou Nikolaou B,38.246498,21.738107
2018-05-10 19:57:16,3041,AGROLAN NOV,32.833741,35.781525
2018-05-10 19:57:46,3042,AGROLAN NOV B,32.833741,35.781525
2018-05-10 19:57:49,7512,Air Alliance Houston (inside),29.737997,-95.342177
2018-05-10 19:56:59,7513,Air Alliance Houston (inside) B,29.737997,-95.342177
2018-05-10 19:57:50,5592,Air Alliance Houston (outside),29.738097,-95.342007
2018-05-10 19:56:56,5593,Air Alliance Houston (outside) B,29.738097,-95.342007
2018-05-10 19:56:56,6780,AirMonitor,37.183842,-119.674953
2018-05-10 19:57:26,6781,AirMonitor B,37.183842,-119.674953
2018-05-10 19:57:39,5496,AirMonitor_9E55,,
2018-05-10 19:56:50,5497,AirMonitor_9E55 B,38.471386,-122.702472
2018-05-10 19:57:48,1704,Aktaio,38.304337,21.794404
2018-05-10 19:56:58,1705,Aktaio B,38.304337,21.794404
2018-05-10 19:56:44,4493,Al Kaleej Al Arabi,24.407633,54.464506
2018-05-10 19:57:14,4494,Al Kaleej Al Arabi B,24.407633,54.464506
2018-05-10 19:57:00,5151,Alamo-Erselia Trail,37.86313,-122.02302
2018-05-10 19:57:30,5152,Alamo-Erselia Trail B,37.86313,-122.02302
2018-05-10 19:57:13,2820,AlbertaI59-AQM,53.878533,-119.13545
2018-05-10 19:57:43,2821,AlbertaI59-AQM B,53.878533,-119.13545
2018-05-10 19:55:51,880,Alex Aiken El,48.795546,-123.693267
2018-05-10 19:57:40,881,Alex Aiken El B,48.795546,-123.693267
2018-05-10 19:57:13,4615,Alexander_Ave,37.457715,-122.224776
2018-05-10 19:57:35,4616,Alexander_Ave B,37.457715,-122.224776
2018-05-10 19:56:55,4721,Alhambra,34.061475,-118.124772
2018-05-10 19:57:25,4722,Alhambra B,34.061475,-118.124772
2018-05-10 19:57:48,4476,Allan Murray Hill,44.260059,-72.575387
2018-05-10 19:56:58,4477,Allan Murray Hill B,44.260059,-72.575387
2018-05-10 19:57:03,3305,Allendale,41.04322,-74.131724
2018-05-10 19:57:33,3306,Allendale B,41.04322,-74.131724
2018-05-10 19:56:52,6142,Allington A20 Kent,51.288068,0.491425
2018-05-10 19:57:22,6143,Allington A20 Kent B,51.288068,0.491425
2018-05-10 19:57:24,4103,Almaden Valley,37.236415,-121.887543
2018-05-10 19:57:41,4104,Almaden Valley B,37.236415,-121.887543
2018-05-10 19:57:32,5868,Alpine Hills,37.385324,-122.199622
2018-05-10 19:57:54,5869,Alpine Hills B,37.385324,-122.199622
2018-05-10 19:57:42,5836,Alpine Utah,40.464425,-111.771045
2018-05-10 19:56:52,5837,Alpine Utah B,40.464425,-111.771045
2018-05-10 19:57:24,5744,Alto,34.413722,-119.285023
2018-05-10 19:57:55,5745,Alto B,34.413722,-119.285023
2018-05-10 19:56:57,4575,Alum Rock (Pala Ave),37.366795,-121.838373
2018-05-10 19:57:19,4576,Alum Rock (Pala Ave) B,37.366795,-121.838373
2018-05-10 19:56:58,1870,Amador St @ Stutz Alley,38.111121,-122.243314
