"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","061","0006","42601","1","38.745726","-121.266312","WGS84","Nitric oxide (NO)","1 HOUR","","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","0.917391","","1.5","23",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","85101","3","38.745726","-121.266312","WGS84","PM10 - LC","1 HOUR","","2017-01-01","2017","001","Micrograms/cubic meter (LC)","None","","24","100.0000","","12.166667","","32","1",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68102","1","38.745726","-121.266312","WGS84","Sample Volume","24 HOUR","","2017-01-01","2017","001","Cubic meter","None","","1","100.0000","","24","","24","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68107","1","38.745726","-121.266312","WGS84","Sample Max Baro Pressure","24 HOUR","","2017-01-01","2017","001","Millimeters (mercury)","None","","1","100.0000","","754","","754","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68108","1","38.745726","-121.266312","WGS84","Average Ambient Pressure","24 HOUR","","2017-01-01","2017","001","Millimeters (mercury)","None","","1","100.0000","","752","","752","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68109","1","38.745726","-121.266312","WGS84","Elapsed Sample Time","24 HOUR","","2017-01-01","2017","001","Minutes","None","","1","100.0000","","1440","","1440","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68101","1","38.745726","-121.266312","WGS84","Sample Flow Rate- CV","24 HOUR","","2017-01-01","2017","001","Percent","None","","1","100.0000","","0.1","","0.1","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68103","1","38.745726","-121.266312","WGS84","Ambient Min Temperature","24 HOUR","","2017-01-01","2017","001","Degrees Centigrade","None","","1","100.0000","","5.7","","5.7","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68106","1","38.745726","-121.266312","WGS84","Sample Min Baro Pressure","24 HOUR","","2017-01-01","2017","001","Millimeters (mercury)","None","","1","100.0000","","750","","750","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68105","1","38.745726","-121.266312","WGS84","Average Ambient Temperature","24 HOUR","","2017-01-01","2017","001","Degrees Centigrade","None","","1","100.0000","","7.9","","7.9","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","68104","1","38.745726","-121.266312","WGS84","Ambient Max Temperature","24 HOUR","","2017-01-01","2017","001","Degrees Centigrade","None","","1","100.0000","","10.6","","10.6","0",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","88101","1","38.745726","-121.266312","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2017-01-01","2017","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.5","","7.5","0","31","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","88101","1","38.745726","-121.266312","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2017-01-01","2017","001","Micrograms/cubic meter (LC)","None","","1","100.0000","","7.5","","7.5","0","31","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","62201","2","38.745726","-121.266312","WGS84","Relative Humidity","1 HOUR","","2017-01-01","2017","001","Percent relative humidity","None","","24","100.0000","","77.791667","","89.2","1",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","62102","1","38.745726","-121.266312","WGS84","Virtual Temperature","1 HOUR","","2017-01-01","2017","001","Degrees Fahrenheit","None","","24","100.0000","","46.354167","","49.5","14",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","81102","3","38.745726","-121.266312","WGS84","PM10 Total 0-10um STP","1 HOUR","","2017-01-01","2017","001","Micrograms/cubic meter (25 C)","None","","24","100.0000","","11.625","","30","1",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","81102","3","38.745726","-121.266312","WGS84","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2017-01-01","2017","001","Micrograms/cubic meter (25 C)","None","","1","100.0000","","11","","11","23","10","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","62101","2","38.745726","-121.266312","WGS84","Outdoor Temperature","1 HOUR","","2017-01-01","2017","001","Degrees Fahrenheit","None","","24","100.0000","","45.7","","49.1","14",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","061","0006","42603","1","38.745726","-121.266312","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2017-01-01","2017","001","Parts per billion","None","","23","96.0000","","5.078261","","7.5","1",".","Y","","California","Placer","Roseville","Roseville-N Sunrise Ave","151 NO SUNRISE BLVD, ROSEVILLE, CA","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
